Feature,MeanSHAP
1.12_483.30,0.002117216662194687
10.90_975.90,-0.002109708331169506
9.01_937.67,0.0021083993262531234
10.35_881.70,0.002108305738353481
8.016_159.0764,-0.002095214454095642
4.66_843.58,0.002090725682418746
10.34_1021.90,0.0020879685977316016
6.15_813.61,0.002087875319038191
2'-O-Methyluridine,0.002087013063697377
1.051_297.2436,0.002086439575490557
10.67_904.83,-0.0020822831871506473
9.98_728.63,-0.0020808574342563303
1-(Piperidin-4-yl)ethan-1-ol,-0.0020723640556494973
4.51_814.54,-0.002072192290342476
5.55_1617.67,-0.0020705865041825183
9.08_1034.82,0.0020640872781862085
9.08_1076.87,0.0020610935259995026
10.86_891.82,-0.002059517811281241
5.69_944.56,-0.0020589449522031293
5.42_768.59,-0.0020519318276456177
10.71_970.88,-0.002041732387125532
PE 36:4|PE 16:0_20:4,0.0020407587317425474
11.34_961.82,-0.002035671740527022
10.91_975.76,0.002024454202532992
5.39_806.57,-0.002023818048584232
10.03_820.74,-0.0020218236662109907
9.77_937.80,-0.002017406832333144
0.84_269.17,-0.002012110807583743
0.08_132.87,-0.00201160657438608
10.41_687.55,0.002006267194761992
10.48_386.38,0.0020039462047199545
PC O-34:4,-0.0020020541362365794
TG 64:17|TG 20:5_22:6_22:6,0.001996877643687968
9.82_989.84,0.0019949358503929602
11.16_994.92,-0.0019932227894890945
9.16_486.46,-0.0019929847068478317
9.64_950.82,-0.0019785032198241957
0.46_324.23,-0.001974261139494275
9.39_885.70,-0.0019693977668095997
7.80_601.36,-0.00196335015117633
10.88_1267.20,0.001960990183203182
344945,-0.001956378877552619
10.45_856.74,0.0019556113725258317
4.21_847.54,-0.0019483671634392783
10.50_890.81,-0.0019381863575686374
9.94_1042.88,-0.0019376378849768722
LPC 16:1/0:0,-0.0019357843258480424
6.204_433.1141,-0.0019337125660276323
3.32_642.58,-0.0019236685903828382
10.68_996.90,-0.0019196240048025644
10.06_1680.43,0.0019184118221176783
5.593_353.0368,0.0019147237363683772
4.87_822.60,-0.0019128469900665174
10.58_1010.91,-0.0019104176234460057
5.17_657.35,-0.00190375185366409
9.99_978.85,-0.0019034370423572293
1.285_186.0556,-0.001889263174713072
1.864_275.0038,-0.0018826026862764137
DG 38:7,-0.001879431759716236
10.43_912.80,-0.0018791197968657768
1.213_295.1915,-0.0018776997220812223
9.63_906.75,-0.0018765929236014957
10.44_911.68,0.001873907891248983
10.09_1018.88,0.0018720065129264874
5-alpha-Androstan-3-beta-ol-17-one sulfate,-0.0018687269753634927
8.359_245.1142,0.0018685349500264586
7.071_173.0059,-0.0018601767444292314
9.852_407.0225,-0.0018579569325500227
9.63_915.68,0.0018571576832957346
9.64_916.69,0.001856435276552284
TG 62:14|TG 18:2_22:6_22:6,0.0018561298827057956
10.66_869.75,-0.0018560070372817786
Riboflavin,0.001855095141752383
9.82_939.74,0.0018485641742279613
0.45_157.12,0.0018466567719109292
11.03_844.75,-0.0018458702670701194
8.245_186.0379,-0.0018450685616163223
TG 58:7|TG 18:1_18:2_22:4,0.0018346162420141007
5.19_788.60,0.0018345391188683779
6.655_162.8383,-0.0018343720692222758
7.297_184.0222,-0.00182634304023843
2.55_131.08,0.0018253717029234884
10.27_995.75,-0.0018236367817661592
8.192_314.1335,0.0018226369988717345
10.86_876.33,-0.0018173459138003333
5.43_772.53,-0.001814378727600656
0.35_310.88,-0.0018142030925536957
11.29_1017.95,-0.0018069493301672709
8.94_1037.70,-0.0018059371286945818
10.68_934.78,-0.0018024532007388698
9.32_949.72,-0.001801086604044188
9.31_874.70,-0.0017997448825105985
TG 64:14|TG 18:2_22:6_24:6,0.0017908730756805943
6.37_799.67,-0.0017899743220177685
5.51_582.51,-0.0017898532658015675
Kynurenic acid,-0.0017837309521006037
9.43_1015.85,-0.0017746690746019897
4.65_770.56,0.0017735840481191726
2.916_184.0967,-0.0017654793786509866
5.94_871.63,0.001762679445634076
4.57_817.54,-0.0017576256477792622
9.13_974.73,0.0017531804496814336
PC O-41:10,0.0017515658519065638
9.73_991.71,0.0017484659941405406
4.406_347.7171,-0.001741712436995287
1.52_522.35,-0.0017403318111108427
0.68_445.28,0.0017402617371059248
TG 48:0|TG 16:0_16:0_16:0,-0.001730959850549439
7.58_671.56,0.00173002556476734
5.75_774.93,-0.0017267013776360739
N-Acetylaspartylglutamic acid,0.0017258974333564086
9.24_887.65,0.0017225922319147131
10.37_898.79,0.0017217873676475604
5.20_794.06,-0.0017216934371722492
7.726_296.135,-0.001720601750893947
5.16_889.58,-0.0017185161241052684
10.89_904.82,-0.0017181074051855004
5.19_840.58,-0.001717100078802205
10.58_666.62,0.0017162855858718826
6.03_835.60,0.0017127522716286218
1.56_606.31,0.0017099205276543087
3.42_498.29,-0.0017061388664965313
10.255_629.8093,-0.001700844873070569
10.84_979.85,-0.0017003916015168262
10.097_335.0478,-0.0016998183932067181
10.35_931.76,0.0016962378164672065
1.21_234.9918,-0.0016926149584652647
Nicotinamide,0.0016909137150251548
5-Oxo-1-propyl-2-pyrrolidineacetic acid,-0.0016896395401729614
10.35_981.87,0.0016886575711873258
9.98_993.87,-0.0016882019444264778
5.72_719.58,0.0016808287103589287
8.94_1047.74,-0.001675824892751148
8.94_1016.77,0.0016753662104851128
6.27_811.67,-0.0016737147403911349
