Feature,MeanSHAP
9.43_986.82,0.003251676764075815
8.56_1014.76,0.003249586174402034
N-Methylisoleucine,-0.0032391677822123975
10.00_685.53,0.0032294202645747464
6.97_1270.16,0.0031540039468849397
8.70_1011.68,0.0031531115845041735
5.73_820.58,0.0031449967895393295
7.58_671.56,0.003107714455537492
8.94_1037.70,0.0030627002205633226
1.12_287.8364,0.0030332802367507975
10.86_932.86,-0.0030286826628526465
5.87_787.60,0.0030254510058728146
DG 40:8|DG 18:2_22:6,0.0030162483691586047
10.42_962.82,-0.0030108898346645164
Cer 42:1;2O|Cer 18:1;2O/24:0,0.003008770516869524
11.24_908.85,-0.0029819538054746504
8.021_419.0891,-0.002973003219129742
9.89_951.74,0.002969293557790249
10.23_931.76,-0.002964980608524786
9.97_864.80,-0.002945361458836728
4.72_851.50,-0.002939859591530879
10.02_841.67,0.002923409357110229
0.42_180.10,0.0028696335826331777
10.76_888.80,-0.0028695612979738033
10.06_902.81,-0.002856644132978435
11.23_900.75,-0.00284642292099042
5.067_78.9176,-0.002833986610217438
9.15_997.72,0.002828378865183612
TG 64:16|TG 20:4_22:6_22:6,0.002804677003705427
9.35_924.71,0.002798365597624854
9.348_116.0707,-0.002795833220382906
11.16_916.78,0.0027900484714155787
10.35_1034.91,-0.002787443091366728
6.08_829.61,0.0027729653201253356
11.29_1017.95,-0.0027633878386431198
TG 58:8|TG 18:1_18:2_22:5,-0.0027532639350026024
10.36_921.72,0.0027266126603935183
1.582_258.9917,0.0027243886266841337
11.25_928.77,-0.002707511016631412
9.73_900.71,-0.0027028257935253538
TG 52:5|TG 16:0_16:0_20:5,-0.0026801117651631583
Xanthurenic acid,0.0026423376603067652
10.89_824.77,-0.002641001228003435
11.82_876.80,0.0026391977088387427
11.26_938.81,-0.002638786889044798
10.36_919.72,0.0026326199673201863
5-Oxo-1-propyl-2-pyrrolidineacetic acid,-0.0026295308359657052
TG 54:2|TG 18:0_18:1_18:1,-0.00261845752397023
3-Hydroxysebacic acid,-0.002616507195605154
9.39_913.67,-0.0026015421032567414
9.27_1016.72,-0.0025743277808172134
3.31_879.37,0.002565396436575401
4.02_599.43,-0.002559951129946286
9.24_887.65,0.0025570462609831586
12.75_347.00,-0.002553356789907722
10.88_371.36,0.002551336053112054
10.38_305.25,0.0025307612393508233
5.39_992.56,-0.0025292744997742786
9.81_928.74,-0.002528183017871667
4.75_829.58,-0.0025118752191369198
3-Hydroxyvaleric acid,-0.002509700341640493
10.02_904.83,0.002501533718238307
9.94_969.87,-0.00249983105244917
3.448_372.3105,0.0024916844297721012
9.31_1038.85,0.0024867102174429448
11.24_918.85,0.00248638525499926
Tuberonic acid,0.002474596546701062
LPC 22:1/0:0,-0.002472819513010068
10.05_909.67,-0.002469100610973637
10.88_668.63,-0.002465163924141858
11.24_976.92,0.0024514621277885716
10.75_974.76,-0.0024433342895627346
10.37_977.84,-0.0024304847511570234
2.97_539.30,-0.002425638514872837
9.75_952.83,-0.0024192598578599432
9.21_935.71,-0.0024188645728186516
10.45_869.70,-0.0024166506623106484
11.28_936.81,0.002413283692200931
10.57_917.82,-0.002406227779236033
TG 54:0|TG 16:0_18:0_20:0,-0.0024038764683050173
TG 58:12|TG 18:2_18:4_22:6,-0.002399754193506333
10.69_1010.91,-0.002398665982377034
9.39_885.70,0.0023950889404840523
10.44_549.49,0.0023896875637913146
5.98_844.66,-0.002378983916235572
10.53_896.72,-0.0023697602664479026
9.44_939.68,0.002362656769375371
6.05_795.61,-0.002361871886646172
6.767_431.0989,-0.0023582603993762873
10.48_680.63,0.0023530392072308353
9.64_909.77,0.002342430257556135
4.45_701.56,-0.0023340888501181575
9.94_1042.88,-0.002325964168047856
1.82_171.0265,-0.0023237047705987166
Hexuronic acid,0.0023234185520572452
11.60_906.85,0.0023162989806485663
7.38_815.70,-0.002305771212426508
